Order,Book,Events/Characters/Universes,Published,Era,Writer(s),Penciller(s),Main?
1.001,X-Men vol. 1 #1,"Professor X (1st), Cyclops (1st), Marvel Girl (1st), Iceman (1st), Angel (1st), Beast (1st), Magneto (1st)",7/2/1963,Silver,Stan Lee,Jack Kirby,Yes
2.001,X-Men vol. 1 #2,"Cyclops, Jean Grey, Angel, Beast, Iceman, Professor X, Vanisher (1st)",9/3/1963,Silver,Stan Lee,Jack Kirby,Yes
3.001,X-Men vol. 1 #3,"Cyclops, Jean Grey, Angel, Beast, Iceman, Professor X, Blob (1st)",11/5/1963,Silver,Stan Lee,Jack Kirby,Yes
4.001,X-Men vol. 1 #4,"Cyclops, Jean Grey, Angel, Beast, Iceman, Professor X, Brotherhood (1st), Toad (1st), Quicksilver (1st), Scarlet Witch (1st), Mastermind (1st), Magneto",1/3/1964,Silver,Stan Lee,Jack Kirby,Yes
5.001,X-Men vol. 1 #5,"Cyclops, Jean Grey, Angel, Beast, Iceman, Professor X, Brotherhood, Toad, Quicksilver, Scarlet Witch, Mastermind, Magneto",3/3/1964,Silver,Stan Lee,Jack Kirby,Yes
6.001,X-Men vol. 1 #6,"Cyclops, Jean Grey, Angel, Beast, Iceman, Professor X, Namor, Brotherhood, Toad, Quicksilver, Scarlet Witch, Mastermind, Magneto",5/5/1964,Silver,Stan Lee,Jack Kirby,Yes
6.002,Fantastic Four vol. 1 #28,"Mister Fantastic, Invisible Girl, Human Torch, Thing, Alicia Masters, Cyclops, Jean Grey, Angel, Beast, Iceman, Professor X, Mad Thinker, Puppt Master",4/9/1964,Silver,Stan Lee,Jack Kirby,Yes
7.001,X-Men vol. 1 #7,"Cyclops, Jean Grey, Angel, Beast, Iceman, Professor X, Blob, Brotherhood, Toad, Quicksilver, Scarlet Witch, Mastermind, Magneto, Zelda Kurtzberg (1st), Bernard the Poet (1st)",7/2/1964,Silver,Stan Lee,Jack Kirby,Yes
8.001,X-Men vol. 1 #8,"Cyclops, Jean Grey, Angel, Beast, Iceman, Professor X, Unus (1st), Brotherhood, Mastermind",9/1/1964,Silver,Stan Lee,Jack Kirby,Yes
9.001,X-Men vol. 1 #9,"Cyclops, Jean Grey, Angel, Beast, Iceman, Professor X, Lucifer (1st), Captain America, Thor, Iron Man, Giant-Man (Pym), Wasp",11/3/1964,Silver,Stan Lee,Jack Kirby,Yes
10.001,X-Men vol. 1 #10,"Cyclops, Jean Grey, Angel, Beast, Iceman, Professor X, Ka-Zar (1st), Savage Land (1st), Zabu (1st), Maa-Gorr (1st), Swamp Men (1st)",1/5/1965,Silver,Stan Lee,Jack Kirby,Yes
11.001,X-Men vol. 1 #11,"Cyclops, Jean Grey, Angel, Beast, Iceman, Professor X, The Stranger (1st), Toad, Quicksilver, Scarlet Witch, Mastermind, Magneto",3/4/1965,Silver,Stan Lee,Jack Kirby,Yes
12.001,X-Men vol. 1 #12,"Cyclops, Jean Grey, Angel, Beast, Iceman, Professor X, Juggernaut (1st), Brian Xavier (1st), Kurt Marko (1st), Sharon Xavier (1st)",5/4/1965,Silver,Stan Lee,"Jack Kirby, Alex Toth",Yes
13.001,X-Men vol. 1 #13,"Cyclops, Jean Grey, Angel, Beast, Iceman, Professor X, Human Torch, Juggernaut",7/1/1965,Silver,Stan Lee,"Jack Kirby, Jay Gavin",Yes
14.001,X-Men vol. 1 #14,"Cyclops, Jean Grey, Angel, Beast, Iceman, Professor X, Zelda Kurtzberg, Bernard the Poet, Warren Worthington Jr., Kathryn Worthington, Bolivar Trask (1st), Sentinels (1st)",9/2/1965,Silver,Stan Lee,"Jack Kirby, Jay Gavin",Yes
15.001,X-Men vol. 1 #15,"Cyclops, Jean Grey, Angel, Beast, Iceman, Professor X, Norton McCoy (1st), Edna McCoy (1st), Sentinels, Bolivar Trask, Master Mold (1st)",10/5/1965,Silver,Stan Lee,"Jack Kirby, Jay Gavin",Yes
16.001,X-Men vol. 1 #16,"Cyclops, Jean Grey, Angel, Beast, Iceman, Professor X, Master Mold, Sentinels, Bolivar Trask",11/4/1965,Silver,Stan Lee,"Jack Kirby, Jay Gavin",Yes
17.001,X-Men vol. 1 #17,"Cyclops, Jean Grey, Angel, Beast, Iceman, Professor X, Dr. John Thomas (1st), Magneto",12/2/1965,Silver,Stan Lee,"Jack Kirby, Werner Roth",Yes
18.001,X-Men vol. 1 #18,"Cyclops, Jean Grey, Angel, Beast, Iceman, Professor X, Warren Worthington Jr., Kathryn Worthington, Dr. John Thomas, Stranger, Magneto, Toad",1/4/1966,Silver,Stan Lee,Jay Gavin,Yes
19.001,X-Men vol. 1 #19,"Cyclops, Jean Grey, Angel, Beast, Iceman, Professor X, Zelda Kurtzberg, Vera Cantor (1st), Mimic (1st)",2/3/1966,Silver,Stan Lee,"Jack Kirby, Jay Gavin",Yes
20.001,X-Men vol. 1 #20,"Cyclops, Jean Grey, Angel, Beast, Iceman, Professor X, Lucifer, Supreme One (1st), Blob, Unus",3/3/1966,Silver,Roy Thomas,Werner Roth,Yes
21.001,X-Men vol. 1 #21,"Cyclops, Jean Grey, Angel, Beast, Iceman, Professor X, Lucifer, Supreme One, Dominus (1st), Ultra-Robots (1st)",4/5/1966,Silver,Roy Thomas,Jay Gavin,Yes
